ledger_id,dataset_id,layer,family,variant,execution_kind,run_count,training_seeds,inference_seeds,status,priority,replication_unit,config_path,config_status,parameters,executor_plan,work_dir_template,train_run_ids,result_family,evidence_artifact_ids,swanlab_project,swanlab_run_template,parent_ledger_id,paper_role,acceptance_gate,notes
D1I.ABL.G3,D1_INHOUSE1700_V1,Generation,Training ablation,RF_shifted_AdaLNZero,full_train,3,"42,123,789",42,RUNNING_REUSED,P0,independent_training_seed,experiments/configs/self1700/karyoflow.py,exists,RF; shifted t; AdaLN-Zero; DPM++4 validation; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/ablations/g3/trainseed_{training_seed},,generation_train_ablation_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},D1I.ABL.G2,Strict incremental generation ablation,only named factor changes; batch/optimizer/augmentation/selection fixed,
D1I.INF.solver_steps,D1_INHOUSE1700_V1,Generation,Inference ablation,Euler_Heun_DPMpp_x_steps1to4,inference,36,"42,123,789",42,PLANNED,P0,fixed_checkpoint_by_training_parent,tools/experiment_db/test_inference_ablations.py,parameterize_for_d1i,"3 parents x {Euler,Heun,DPM++} x {1,2,3,4}; report steps and NFE",accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/self1700/inference/solver/{parent}/{solver}_{steps},,solver_d1i_test,,,,D1I.ABL.G3,Solver/step accuracy-efficiency ablation,same checkpoint per parent; common test; no cross-checkpoint causal claim,
D1I.INF.topk_renewal,D1_INHOUSE1700_V1,Generation,Inference ablation,TopK_x_renewal,inference,30,"42,123,789",42,PLANNED,P1,fixed_checkpoint_by_training_parent,tools/experiment_db/test_inference_ablations.py,parameterize_for_d1i,"3 parents x K={100,150,200,300,500} x renewal={off,on}",accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/self1700/inference/topk_renewal/{parent}/k{K}_{renewal},,topk_renewal_d1i_test,,,,D1I.ABL.G3,Identity/renewal and candidate-budget analysis,same checkpoint/seed; renewal-off candidate identity audit,
D1I.DEC.beta_val,D1_INHOUSE1700_V1,Decision,Hyperparameter selection,LQCR_beta_0_0.25_0.5_1_2,inference,15,"42,123,789",42,BLOCKED_PARENT,P0,validation_selection_by_parent,tools/experiment_db/test_inference_ablations.py,parameterize_for_d1i,"3 LQCR parents x beta={0,0.25,0.5,1,2}; validation only",accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/self1700/lqcr_beta_val/{parent}/beta_{beta},,lqcr_beta_d1i_val,,,,D1I.SOTA.karyoflow_lqcr,Validation selection; not a test claim,select beta before any new test evaluation,
D1I.DEC.strict_subsets,D1_INHOUSE1700_V1,Decision,Diagnostic,AP90_AP95_scale_overlap_quality,analysis,1,"42,123,789",42,BLOCKED_PREDICTIONS,P1,paired_prediction_analysis,tools/experiment_db/analysis/difficult_subset_analysis.py,adapt_from_d2,AP90/AP95; AP_S/M/L; overlap strata; size quartiles; quality-IoU Spearman; paired image bootstrap,CPU after test predictions,results/self1700/analysis/lqcr_difficult_subsets,,conditional_difficult_subset_d1i,,,,D1I.SOTA.karyoflow_lqcr,Mechanism evidence and limitation,image-level pairing; diagnostics not paper SOTA rows,
D1I.DEP.distill_h3,D1_INHOUSE1700_V1,Deployment,Head distillation,H6_teacher_to_H3_student,short_train,3,"42,123,789",42,PLANNED,P1,paired_student_by_parent,experiments/configs/self1700/deployment/h3_distill.py,to_create,"teacher heads=6; student heads=3; mapping 0<-0,1<-2,2<-5; fixed loss/protocol",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/deployment/h3/trainseed_{training_seed},,head_distillation_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},D1I.ABL.G3,Deployment extension,three parent-matched students; test mAP; A6000 latency only,
D1I.DEP.GACS,D1_INHOUSE1700_V1,Deployment,Dynamic deployment,GACS,inference,3,"42,123,789",42,PLANNED,P2,fixed_checkpoint_by_training_parent,experiments/configs/self1700/deployment/gacs.py,to_create_or_port,prespecified dynamic policy; accuracy and latency; no precision-module claim,accuracy:any; latency=ross:A6000:0,results/self1700/deployment/gacs/{parent},,gacs_d1i_test,,,,D1I.ABL.G3,Optional dynamic deployment extension,held-out test on both cohorts; same A6000 timing protocol,
D1I.DEP.speed,D1_INHOUSE1700_V1,Deployment,Efficiency,all_operating_points,benchmark,1,"42,123,789",none,BLOCKED_CHECKPOINTS,P1,hardware_efficiency_repeat,tools/benchmark_fps.py,exists_requires_protocol_wrapper,batch=1; same input; precision; warmup; timed iterations; generation/teacher/student/LQCR/GACS,ross:A6000:0 exclusive,results/self1700/benchmark/a6000/{variant},,speed_accuracy_d1i,,,,,Speed-accuracy figure/table,exclusive A6000; no foreign process; accuracy linked to verified test record,
D2.SOTA.karyoflow_train3,D2,Detector comparison,SOTA,karyoflow,full_train,3,"335778785,790448076,1342286018",42,COMPLETED_VERIFIED,DONE,independent_training_seed,experiments/configs/ldmdet/directions/mainline_ablation_24obj/a4_dpm_pp_24obj.py,exists_plus_dumped_configs,RF; shifted t; AdaLN-Zero; DPM++4; K=500; 6 heads,historical ross/workstation,work_dirs/{a4_dpm_pp_24obj|multi_seed/a4_dpm_pp_24obj/seed_*},,paired_lqcr_d2_train3;sota_d2_test,d2-paired-lqcr-train3-4152cdbd5100,,,,Main D2 KaryoFlow mean,already verified: 3 checkpoint SHA; 1000-image test,
D2.SOTA.karyoflow_lqcr_train3,D2,Decision,SOTA,karyoflow_lqcr,short_train,3,"335778785,790448076,1342286018",42,COMPLETED_VERIFIED,DONE,paired_final_stage_intervention,experiments/configs/ldmdet/directions/capr/paper_train3_lqcr_run*.py,exists,parent-matched final-only quality head; beta=2,historical ross/workstation,work_dirs/{capr_quality_only_24obj|paper_d2_lqcr_trainrun_*},,paired_lqcr_d2_train3;sota_d2_test,d2-paired-lqcr-train3-4152cdbd5100,,,D2.SOTA.karyoflow_train3,Main D2 LQCR paired effect,already verified: shared detector weights unchanged,
D2.SOTA.diffusiondet.existing,D2,Detector comparison,SOTA,diffusiondet,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,DONE_DESCRIPTIVE,single_training_checkpoint,experiments/configs/baselines/benchmark_24obj/diffusiondet_ddpm.py,exists,published table checkpoint; six test metrics,historical,work_dirs/baselines/diffusiondet_24obj,,sota_d2_test,d2-test-diffusiondet-b819d77e81b3,,,,D2 point estimate only,must not be labeled three-training-seed,
D2.SOTA.diffusiondet.missing_train2,D2,Detector comparison,SOTA completion,diffusiondet,full_train,2,"123,789",42,PLANNED,P1,independent_training_seed,experiments/configs/baselines/benchmark_24obj/diffusiondet_ddpm.py,exists,same configuration and selection rule as existing checkpoint,123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/d2_train3_completion/diffusiondet/trainseed_{training_seed},,sota_d2_train3_completion,,,{variant}_seed{training_seed},D2.SOTA.diffusiondet.existing,Upgrade D2 baseline to three independent trainings,actual framework seed recorded; distinct checkpoint SHA; 1000-image test,
D2.SOTA.dino_r50.existing,D2,Detector comparison,SOTA,dino_r50,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,DONE_DESCRIPTIVE,single_training_checkpoint,experiments/configs/baselines/benchmark_24obj/dino_r50.py,exists,published table checkpoint; six test metrics,historical,work_dirs/baselines/dino_r50_24obj,,sota_d2_test,d2-test-dino_r50-789860257a37,,,,D2 point estimate only,must not be labeled three-training-seed,
D2.SOTA.dino_r50.missing_train2,D2,Detector comparison,SOTA completion,dino_r50,full_train,2,"123,789",42,PLANNED,P1,independent_training_seed,experiments/configs/baselines/benchmark_24obj/dino_r50.py,exists,same configuration and selection rule as existing checkpoint,123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/d2_train3_completion/dino_r50/trainseed_{training_seed},,sota_d2_train3_completion,,,{variant}_seed{training_seed},D2.SOTA.dino_r50.existing,Upgrade D2 baseline to three independent trainings,actual framework seed recorded; distinct checkpoint SHA; 1000-image test,
D2.SOTA.rtmdet_l.existing,D2,Detector comparison,SOTA,rtmdet_l,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,DONE_DESCRIPTIVE,single_training_checkpoint,experiments/configs/baselines/benchmark_24obj/rtmdet_l.py,exists,published table checkpoint; six test metrics,historical,work_dirs/baselines/rtmdet_l_24obj,,sota_d2_test,d2-test-rtmdet_l-feca98add171,,,,D2 point estimate only,must not be labeled three-training-seed,
D2.SOTA.rtmdet_l.missing_train2,D2,Detector comparison,SOTA completion,rtmdet_l,full_train,2,"123,789",42,PLANNED,P1,independent_training_seed,experiments/configs/baselines/benchmark_24obj/rtmdet_l.py,exists,same configuration and selection rule as existing checkpoint,123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/d2_train3_completion/rtmdet_l/trainseed_{training_seed},,sota_d2_train3_completion,,,{variant}_seed{training_seed},D2.SOTA.rtmdet_l.existing,Upgrade D2 baseline to three independent trainings,actual framework seed recorded; distinct checkpoint SHA; 1000-image test,
D2.SOTA.cascade_rcnn_r50.existing,D2,Detector comparison,SOTA,cascade_rcnn_r50,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,DONE_DESCRIPTIVE,single_training_checkpoint,experiments/configs/baselines/benchmark_24obj/cascade_rcnn_r50.py,exists,published table checkpoint; six test metrics,historical,work_dirs/baselines/cascade_rcnn_r50_24obj,,sota_d2_test,d2-test-cascade_rcnn-25e7f63f7418,,,,D2 point estimate only,must not be labeled three-training-seed,
D2.SOTA.cascade_rcnn_r50.missing_train2,D2,Detector comparison,SOTA completion,cascade_rcnn_r50,full_train,2,"123,789",42,PLANNED,P1,independent_training_seed,experiments/configs/baselines/benchmark_24obj/cascade_rcnn_r50.py,exists,same configuration and selection rule as existing checkpoint,123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/d2_train3_completion/cascade_rcnn_r50/trainseed_{training_seed},,sota_d2_train3_completion,,,{variant}_seed{training_seed},D2.SOTA.cascade_rcnn_r50.existing,Upgrade D2 baseline to three independent trainings,actual framework seed recorded; distinct checkpoint SHA; 1000-image test,
D2.SOTA.yolox_s.existing,D2,Detector comparison,SOTA,yolox_s,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,DONE_DESCRIPTIVE,single_training_checkpoint,experiments/configs/baselines/benchmark_24obj/yolox_s.py,exists,published table checkpoint; six test metrics,historical,work_dirs/baselines/yolox_s,,sota_d2_test,d2-test-yolox_s-ea70f679365b,,,,D2 point estimate only,must not be labeled three-training-seed,
D2.SOTA.yolox_s.missing_train2,D2,Detector comparison,SOTA completion,yolox_s,full_train,2,"123,789",42,PLANNED,P1,independent_training_seed,experiments/configs/baselines/benchmark_24obj/yolox_s.py,exists,same configuration and selection rule as existing checkpoint,123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/d2_train3_completion/yolox_s/trainseed_{training_seed},,sota_d2_train3_completion,,,{variant}_seed{training_seed},D2.SOTA.yolox_s.existing,Upgrade D2 baseline to three independent trainings,actual framework seed recorded; distinct checkpoint SHA; 1000-image test,
D2.ABL.historical_chain,D2,Generation,Historical ablation,DDPM_RF_Heun_AdaLN_DPMpp,mixed,4,mixed,mixed,COMPLETED_DESCRIPTIVE,DONE_DESCRIPTIVE,mixed_cross_checkpoint,"experiments/configs/ldmdet/directions/mainline_ablation_24obj/a{0,1,2,4}_*.py",exists,historical A0/A1/A2/A4; configs/checkpoints and training seeds not fully paired,historical ross/workstation,work_dirs/{a0_baseline_24obj|a1_rf_heun_24obj|a2_rf_heun_adaln_24obj|a4_dpm_pp_24obj},,legacy_protocol,,,,,Context only; not cumulative causal ablation,never report adjacent deltas as isolated effects,
D2.ABL.strict.G0,D2,Generation,Training ablation,DDPM_linear_scaleshift,full_train,3,"42,123,789",42,PLANNED,P2,independent_training_seed,experiments/configs/d2_strict_ablations/g0_ddpm_batch2.py,to_create,DDPM; DDIM1; linear t; scale-shift; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/d2_strict_ablations/g0/trainseed_{training_seed},,generation_train_ablation_d2_test,,,{variant}_seed{training_seed},,Cross-cohort strict ablation replication,only named factor changes; same batch/optimizer/selection; six test metrics,
D2.ABL.strict.G1,D2,Generation,Training ablation,RF_linear_scaleshift,full_train,3,"42,123,789",42,PLANNED,P2,independent_training_seed,experiments/configs/d2_strict_ablations/g1_rf_linear_scaleshift.py,to_create,RF; linear t; scale-shift; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/d2_strict_ablations/g1/trainseed_{training_seed},,generation_train_ablation_d2_test,,,{variant}_seed{training_seed},,Cross-cohort strict ablation replication,only named factor changes; same batch/optimizer/selection; six test metrics,
D2.ABL.strict.G2,D2,Generation,Training ablation,RF_shifted_scaleshift,full_train,3,"42,123,789",42,PLANNED,P2,independent_training_seed,experiments/configs/d2_strict_ablations/g2_rf_shifted_scaleshift.py,to_create,RF; shifted t; scale-shift; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/d2_strict_ablations/g2/trainseed_{training_seed},,generation_train_ablation_d2_test,,,{variant}_seed{training_seed},,Cross-cohort strict ablation replication,only named factor changes; same batch/optimizer/selection; six test metrics,
D2.ABL.strict.G3,D2,Generation,Training ablation,RF_shifted_AdaLNZero,full_train,3,"335778785,790448076,1342286018",42,COMPLETED_VERIFIED_REUSED,DONE,independent_training_seed,experiments/configs/ldmdet/directions/mainline_ablation_24obj/a4_dpm_pp_24obj.py,exists_plus_dumped_configs,RF; shifted t; AdaLN-Zero; DPM++4,historical ross/workstation,work_dirs/{a4_dpm_pp_24obj|multi_seed/a4_dpm_pp_24obj/seed_*},,paired_lqcr_d2_train3,d2-paired-lqcr-train3-4152cdbd5100,,,,Strict chain endpoint; reuse only after config compatibility audit,confirm optimizer/batch/selection compatibility with new G0-G2,
D2.INF.solver_steps.fixed1,D2,Generation,Inference ablation,Euler_Heun_DPMpp_x_steps1to4,inference,12,335778785,42,COMPLETED_FIXED_CHECKPOINT,DONE_CONDITIONAL,fixed_checkpoint_inference,tools/experiment_db/test_inference_ablations.py,exists,one fixed KaryoFlow checkpoint x 3 solvers x 4 steps,historical,results/d2_test_inference_ablations/solver/{solver}_{steps},,solver_d2_test,d2-test-inference-ablations-b81d6a3d498a,,,D2.SOTA.karyoflow_train3,Conditional solver mechanism evidence,label fixed-checkpoint; not training replication,
D2.INF.solver_steps.train3,D2,Generation,Inference replication,Euler_Heun_DPMpp_x_steps1to4_train3,inference,36,"335778785,790448076,1342286018",42,PLANNED,P1,fixed_checkpoint_by_training_parent,tools/experiment_db/test_inference_ablations.py,exists_parameterize_parent,3 independent parents x 3 solvers x 4 steps,accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/d2_train3_inference/solver/{parent}/{solver}_{steps},,solver_d2_train3_test,,,,D2.SOTA.karyoflow_train3,Training-robust solver ablation,aggregate one value per training parent,
D2.INF.topk_renewal.fixed1,D2,Generation,Inference ablation,TopK_x_renewal,inference,10,335778785,42,COMPLETED_FIXED_CHECKPOINT,DONE_CONDITIONAL,fixed_checkpoint_inference,tools/experiment_db/test_inference_ablations.py,exists,"K={100,150,200,300,500} x renewal={off,on}",historical,results/d2_test_inference_ablations/topk_renewal/{variant},,topk_renewal_d2_test,d2-test-inference-ablations-6dd1dcb1cc91,,,D2.SOTA.karyoflow_train3,Conditional identity/candidate-budget evidence,label fixed-checkpoint,
D2.INF.topk_renewal.train3,D2,Generation,Inference replication,TopK_x_renewal_train3,inference,30,"335778785,790448076,1342286018",42,PLANNED,P2,fixed_checkpoint_by_training_parent,tools/experiment_db/test_inference_ablations.py,exists_parameterize_parent,3 parents x 5 K x renewal off/on,accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/d2_train3_inference/topk_renewal/{parent}/{variant},,topk_renewal_d2_train3_test,,,,D2.SOTA.karyoflow_train3,Training-robust identity analysis,aggregate by training parent,
D2.DEC.beta_test.fixed1,D2,Decision,Post-selection sensitivity,LQCR_beta_0_0.25_0.5_1_2,inference,5,335778785,42,COMPLETED_DIAGNOSTIC,DONE_DIAGNOSTIC,fixed_checkpoint_inference,tools/experiment_db/test_inference_ablations.py,exists,test beta sweep after beta=2 validation selection; transparency only,historical,results/d2_test_inference_ablations/lqcr_beta/{beta},,lqcr_beta_d2_test,d2-test-inference-ablations-d9fd109403da,,,D2.SOTA.karyoflow_lqcr_train3,"Post-selection sensitivity, not selection evidence",caption must state beta=2 selected on validation,
D2.DEC.strict_subsets,D2,Decision,Diagnostic,AP90_AP95_scale_overlap_bootstrap,analysis,2,"335778785,790448076,1342286018",42,COMPLETED_DIAGNOSTIC,DONE_DIAGNOSTIC,paired_prediction_analysis,tools/experiment_db/analysis/d2_difficult_subset_analysis.py,exists,overlap/size strict recall plus 1000-replicate LQCR-vs-DINO image bootstrap,CPU,tools/experiment_db/evidence_sources/d2_{difficult_subsets|lqcr_vs_dino}_*.json,,conditional_difficult_subset_d2;conditional_image_bootstrap_d2,d2-difficult-subsets-paired-train3-725aab1ab102;d2-lqcr-vs-dino-image-bootstrap-1000-seed20260812,,,D2.SOTA.karyoflow_lqcr_train3,Mechanism/uncertainty; not SOTA proof,diagnostic paper_eligible=0,
D2.DEP.distill_h3.existing,D2,Deployment,Head distillation,H6_to_H3_single_parent,short_train,1,one,42,COMPLETED_SINGLE_PARENT,DONE_CONDITIONAL,single_parent_student,experiments/configs/ldmdet/directions/mainline_ablation_24obj/h3_distill_plan_a_24obj.py,exists,"H6 teacher -> H3 student; mapping 0,2,5",historical ross/workstation,work_dirs/h3_distill_plan_a_24obj,,head_distillation,,,,,Conditional deployment point,do not call three-training-seed,
D2.DEP.distill_h3.train3,D2,Deployment,Head distillation,H6_to_H3_parent_matched_train3,short_train,3,"335778785,790448076,1342286018",42,PLANNED,P1,paired_student_by_parent,experiments/configs/d2_deployment/h3_distill_parent.py,to_create_or_parameterize,one H3 student per KaryoFlow parent; identical mapping/loss,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/d2_deployment/h3/{parent},,head_distillation_d2_train3,,,{variant}_seed{training_seed},D2.SOTA.karyoflow_train3,Training-robust deployment evidence,three parent-matched students; A6000 latency only,
D2.DEP.GACS,D2,Deployment,Dynamic deployment,GACS,inference,1,one/unknown,42,PARTIAL_LEGACY,P2,fixed_checkpoint_by_training_parent,experiments/configs/ldmdet/directions/inference_opt/gacs*.py,locate_and_standardize,dynamic deployment policy; historical D1 loss ~0.0007 mAP; D2 held-out test missing,accuracy:any; latency=ross:A6000:0,results/d2_deployment/gacs/{parent},,GACS,,,,D2.SOTA.karyoflow_train3,"Optional deployment extension, not main precision module",D2 test plus A6000 speed before paper use,
