route_id,dataset_id,layer,family,variant,execution_kind,run_count,training_seeds,inference_seeds,status,priority,replication_unit,config_state,method_config,matrix_config,protocol_config,parameters,resolved_training,server_plan,output_template,train_run_ids,result_family,evidence_artifact_ids,compatibility_report,swanlab_project,swanlab_run_template,parent_route_id,paper_role,acceptance_gate,notes
D1I.ABL.G3,D1_INHOUSE1700_V2,Generation,Training ablation,RF_shifted_AdaLNZero,full_train,3,"42,123,789",42,TRAIN3_COMPLETE_TEST_QUEUED_2_OF_3_COMPLETE,P0,independent_training_seed,READY,experiments/configs/methods/strict_g3_rf_shifted_adaln_zero.py,experiments/configs/matrices/d1_inhouse1700_generation_ablation.yaml,,RF; shifted t; AdaLN-Zero; Euler 1-step validation,"{""base_lr"": 5e-05, ""batch_size"": 2, ""config_id"": ""v2.d1_generation.strict_g3_rf_shifted_adaln_zero_r50.train"", ""max_epochs"": 150, ""method_id"": ""strict_g3_rf_shifted_adaln_zero_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1_generation/strict_g3_rf_shifted_adaln_zero_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""8ee8741ec0a2c0d8656aeee90ea22b481561fe23d2264f00f9f6510b4a725f77""}",42=ross:A6000:0;123=ross:A6000:0;789=workstation:A5000:0,work_dirs/v2/d1_generation/strict_g3_rf_shifted_adaln_zero_r50/trainseed_{training_seed},,generation_train_ablation_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},D1I.ABL.G2,Strict one-factor generation ablation,only time conditioning changes from G2; common validation protocol,"All three independent G3 training runs completed. Held-out test evidence: 2/3 passed evaluation, immutable evidence validation, database import, and global audit; remaining evaluations run serially on Ross A6000."
D1I.INF.solver_steps,D1_INHOUSE1700_V2,Generation,Inference ablation,Euler_Heun_DPMpp_x_steps1to4,inference,36,"42,123,789",42,QUEUED_SERIAL_ROSS_24_OF_36_COMPLETE,P0,fixed_checkpoint_by_training_parent,PROTOCOL_READY,experiments/configs/methods/karyoflow.py,experiments/configs/matrices/d1_inhouse1700.yaml,experiments/configs/ablations/d1_solver_test.yaml,"3 parents x {Euler,Heun,DPM++} x {1,2,3,4}; report steps and NFE",{},accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/v2/d1_inhouse1700/inference/solver/{parent}/{solver}_{steps},,solver_d1i_test,,,,,D1I.ABL.G3,Solver/step accuracy-efficiency ablation,same checkpoint per parent; common test; no cross-checkpoint causal claim,24/36 fixed-parent solver/step held-out test evaluations passed the evidence/database audit; remaining tasks are serialized on Ross A6000.
D1I.INF.topk_renewal,D1_INHOUSE1700_V2,Generation,Inference ablation,TopK_x_renewal,inference,30,"42,123,789",42,QUEUED_SERIAL_ROSS_0_OF_30_COMPLETE,P1,fixed_checkpoint_by_training_parent,PROTOCOL_READY,experiments/configs/methods/karyoflow.py,experiments/configs/matrices/d1_inhouse1700.yaml,experiments/configs/ablations/d1_topk_renewal_test.yaml,"3 parents x K={100,150,200,300,500} x renewal={off,on}",{},accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/v2/d1_inhouse1700/inference/topk_renewal/{parent}/k{K}_{renewal},,topk_renewal_d1i_test,,,,,D1I.ABL.G3,Identity/renewal and candidate-budget analysis,same checkpoint/seed; renewal-off candidate identity audit,0/30 fixed-parent Top-K/renewal held-out test evaluations passed the evidence/database audit; remaining tasks are serialized on Ross A6000.
D1I.DEC.beta_val,D1_INHOUSE1700_V2,Decision,Hyperparameter selection,LQCR_beta_0_0.25_0.5_1_2,inference,15,"42,123,789",42,BLOCKED_PARENT,P0,validation_selection_by_parent,PROTOCOL_READY_PARENT_PENDING,experiments/configs/methods/karyoflow_lqcr.py,experiments/configs/matrices/d1_inhouse1700.yaml,experiments/configs/ablations/d1_lqcr_beta_val.yaml,"3 LQCR parents x beta={0,0.25,0.5,1,2}; validation only",{},accuracy:any idle GPU; efficiency=ross:A6000:0 only,results/v2/d1_inhouse1700/lqcr_beta_val/{parent}/beta_{beta},,lqcr_beta_d1i_val,,,,,D1I.SOTA.karyoflow_lqcr,Validation selection; not a test claim,select beta before any new test evaluation,No active v2 run is currently registered.
D1I.DEC.strict_subsets,D1_INHOUSE1700_V2,Decision,Diagnostic,AP90_AP95_scale_overlap_quality,analysis,1,"42,123,789",42,BLOCKED_PREDICTIONS,P1,paired_prediction_analysis,DATASET_ADAPTATION_REQUIRED,,experiments/configs/matrices/d1_inhouse1700.yaml,tools/experiment_db/protocols/d2_difficulty_strata.json,AP90/AP95; AP_S/M/L; overlap strata; size quartiles; quality-IoU Spearman; paired image bootstrap,{},CPU after test predictions,results/v2/d1_inhouse1700/analysis/lqcr_difficult_subsets,,conditional_difficult_subset_d1i,,,,,D1I.SOTA.karyoflow_lqcr,Mechanism evidence and limitation,image-level pairing; diagnostics not paper SOTA rows,No active v2 run is currently registered.
D1I.DEP.distill_h3,D1_INHOUSE1700_V2,Deployment,Head distillation,H6_teacher_to_H3_student,short_train,3,"42,123,789",42,BLOCKED_PARENT,P1,paired_student_by_parent,READY_PARENT_PENDING,experiments/configs/methods/karyoflow_h3_distill.py,experiments/configs/matrices/d1_inhouse1700_head_distill.yaml,experiments/configs/deployment/h3_distillation_protocol.yaml,"teacher heads=6; student heads=3; mapping 0<-0,1<-2,2<-5; fixed loss/protocol","{""base_lr"": 1e-05, ""batch_size"": 2, ""config_id"": ""v2.d1_distill.karyoflow_h3_distill_r50.train"", ""max_epochs"": 50, ""method_id"": ""karyoflow_h3_distill_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1_distill/karyoflow_h3_distill_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""480cf612957cf3599c9077e255f4f6cc9c7f45df157e00f82bb18bd7fa875890""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1_distill/karyoflow_h3_distill_r50/trainseed_{training_seed},,head_distillation_d1i_test,,,KaryoFlow-HeadDistill-D1-V2,{variant}_seed{training_seed},D1I.ABL.G3,Deployment extension,three parent-matched students; test mAP; A6000 latency only,No active v2 run is currently registered.
D1I.DEP.GACS,D1_INHOUSE1700_V2,Deployment,Dynamic deployment,GACS,inference,3,"42,123,789",42,BLOCKED_PARENT,P2,fixed_checkpoint_by_training_parent,PROTOCOL_READY_PARENT_PENDING,experiments/configs/methods/karyoflow.py,experiments/configs/matrices/d1_inhouse1700.yaml,experiments/configs/deployment/gacs_dynamic_policy.yaml,prespecified dynamic policy; accuracy and latency; no precision-module claim,{},accuracy:any; latency=ross:A6000:0,results/v2/d1_inhouse1700/deployment/gacs/{parent},,gacs_d1i_test,,,,,D1I.ABL.G3,Optional dynamic deployment extension,held-out test on both cohorts; same A6000 timing protocol,No active v2 run is currently registered.
D1I.DEP.speed,D1_INHOUSE1700_V2,Deployment,Efficiency,all_operating_points,benchmark,1,"42,123,789",none,BLOCKED_CHECKPOINTS,P1,hardware_efficiency_repeat,READY,,experiments/configs/matrices/d1_inhouse1700.yaml,experiments/configs/deployment/a6000_speed_protocol.yaml,batch=1; same input; precision; warmup; timed iterations; generation/teacher/student/LQCR/GACS,{},ross:A6000:0 exclusive,results/v2/d1_inhouse1700/benchmark/a6000/{variant},,speed_accuracy_d1i,,,,,,Speed-accuracy figure/table,exclusive A6000; no foreign process; accuracy linked to verified test record,No active v2 run is currently registered.
D2.SOTA.karyoflow_train3,D2,Detector comparison,SOTA,karyoflow,full_train,3,"335778785,790448076,1342286018",42,COMPLETED_VERIFIED,P0,independent_training_seed,EXACT,experiments/configs/methods/karyoflow_ot_legacy.py,experiments/configs/matrices/d2_taichung_history.yaml,,RF; shifted t; AdaLN-Zero; DPM++4; K=500; 6 heads,{},historical ross/workstation,work_dirs/{a4_dpm_pp_24obj|multi_seed/a4_dpm_pp_24obj/seed_*},,paired_lqcr_d2_train3;sota_d2_test,d2-paired-lqcr-train3-4152cdbd5100,tools/experiment_db/compatibility_reports/d2_mainline_history_v1_index.json,,,,Original-split D2 main detector,already verified: 3 checkpoint SHA; 1000-image test,Verified three-independent-training-run evidence on the publisher-provided original D2 split.
D2.SOTA.karyoflow_lqcr_train3,D2,Decision,SOTA,karyoflow_lqcr,short_train,3,"335778785,790448076,1342286018",42,COMPLETED_VERIFIED,P0,paired_final_stage_intervention,EXACT,experiments/configs/methods/karyoflow_ot_lqcr_legacy.py,experiments/configs/matrices/d2_taichung_history.yaml,,parent-matched final-only quality head; beta=2,{},historical ross/workstation,work_dirs/{capr_quality_only_24obj|paper_d2_lqcr_trainrun_*},,paired_lqcr_d2_train3;sota_d2_test,d2-paired-lqcr-train3-4152cdbd5100,tools/experiment_db/compatibility_reports/d2_mainline_history_v1_index.json,,,D2.SOTA.karyoflow_train3,Original-split D2 paired LQCR effect,already verified: shared detector weights unchanged,Verified parent-matched three-training-run evidence on the publisher-provided original D2 split.
D2.SOTA.diffusiondet.existing,D2,Detector comparison,SOTA,diffusiondet,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,P0,single_training_checkpoint,STRUCTURAL_ONLY,experiments/configs/methods/diffusiondet_ddpm_legacy.py,experiments/configs/matrices/d2_diffusiondet_history.yaml,,published table checkpoint; six test metrics,{},historical,work_dirs/baselines/diffusiondet_24obj,,sota_d2_test,d2-test-diffusiondet-b819d77e81b3,tools/experiment_db/compatibility_reports/d2_sota_diffusiondet.json,,,,Original-split D2 benchmark point estimate,must not be labeled three-training-seed,Recorded test result on the publisher-provided original D2 split.
D2.SOTA.diffusiondet.train3_supplement,D2,Detector comparison,SOTA,diffusiondet,full_train,3,"42,123,789",42,DEFERRED_UNTIL_D1_COMPLETE,P2,independent_training_seed,READY,experiments/configs/methods/diffusiondet_ddpm.py,experiments/configs/matrices/d2_taichung_sota_completion.yaml,,same configuration and selection rule as existing checkpoint,"{""base_lr"": 5e-05, ""batch_size"": 2, ""config_id"": ""v2.d2_sota_completion.diffusiondet_ddpm_r50.train"", ""max_epochs"": 150, ""method_id"": ""diffusiondet_ddpm_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d2_sota_completion/diffusiondet_ddpm_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""1f2950fb62e874bb7a73a0bd4bfcad6dd477a8c3756ffaac77a9b51f4e1326e5""}",123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/v2/d2_sota_completion/diffusiondet_ddpm_r50/trainseed_{training_seed},,sota_d2_train3_completion,,tools/experiment_db/compatibility_reports/d2_sota_diffusiondet.json,,{variant}_seed{training_seed},,Optional D2 three-training-run robustness supplement,three independently trained models; six held-out-test metrics,Do not enqueue until every required D1 experiment and evaluation is complete.
D2.SOTA.dino_r50.existing,D2,Detector comparison,SOTA,dino_r50,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,P0,single_training_checkpoint,EXACT,experiments/configs/methods/dino_r50_legacy.py,experiments/configs/matrices/d2_dino_rtmdet_history.yaml,,published table checkpoint; six test metrics,{},historical,work_dirs/baselines/dino_r50_24obj,,sota_d2_test,d2-test-dino_r50-789860257a37,tools/experiment_db/compatibility_reports/d2_sota_dino_r50.json,,,,Original-split D2 benchmark point estimate,must not be labeled three-training-seed,Recorded test result on the publisher-provided original D2 split.
D2.SOTA.dino_r50.train3_supplement,D2,Detector comparison,SOTA,dino_r50,full_train,3,"42,123,789",42,DEFERRED_UNTIL_D1_COMPLETE,P2,independent_training_seed,READY,experiments/configs/methods/dino_r50.py,experiments/configs/matrices/d2_taichung_sota_completion.yaml,,same configuration and selection rule as existing checkpoint,"{""base_lr"": 2.5e-05, ""batch_size"": 2, ""config_id"": ""v2.d2_sota_completion.dino_r50.train"", ""max_epochs"": 150, ""method_id"": ""dino_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d2_sota_completion/dino_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""74931f72cad1c9552882cdce138142e06b8c6d1db024e13360587fd03b8cd18a""}",123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/v2/d2_sota_completion/dino_r50/trainseed_{training_seed},,sota_d2_train3_completion,,tools/experiment_db/compatibility_reports/d2_sota_dino_r50.json,,{variant}_seed{training_seed},,Optional D2 three-training-run robustness supplement,three independently trained models; six held-out-test metrics,Do not enqueue until every required D1 experiment and evaluation is complete.
D2.SOTA.rtmdet_l.existing,D2,Detector comparison,SOTA,rtmdet_l,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,P0,single_training_checkpoint,EXACT,experiments/configs/methods/rtmdet_l_legacy.py,experiments/configs/matrices/d2_dino_rtmdet_history.yaml,,published table checkpoint; six test metrics,{},historical,work_dirs/baselines/rtmdet_l_24obj,,sota_d2_test,d2-test-rtmdet_l-feca98add171,tools/experiment_db/compatibility_reports/d2_sota_rtmdet_l.json,,,,Original-split D2 benchmark point estimate,must not be labeled three-training-seed,Recorded test result on the publisher-provided original D2 split.
D2.SOTA.rtmdet_l.train3_supplement,D2,Detector comparison,SOTA,rtmdet_l,full_train,3,"42,123,789",42,DEFERRED_UNTIL_D1_COMPLETE,P2,independent_training_seed,READY,experiments/configs/methods/rtmdet_l.py,experiments/configs/matrices/d2_taichung_sota_completion.yaml,,same configuration and selection rule as existing checkpoint,"{""base_lr"": 0.0001, ""batch_size"": 2, ""config_id"": ""v2.d2_sota_completion.rtmdet_l.train"", ""max_epochs"": 150, ""method_id"": ""rtmdet_l"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d2_sota_completion/rtmdet_l/trainseed_{training_seed}"", ""scientific_config_sha256"": ""8123363a089ba0db575b9a2c095477ffe3a5dc4e999418e820d710413ff45ee7""}",123=workstation:A5000:0;789=ross:A6000:0 (A4000 for lighter model if exact config fits),work_dirs/v2/d2_sota_completion/rtmdet_l/trainseed_{training_seed},,sota_d2_train3_completion,,tools/experiment_db/compatibility_reports/d2_sota_rtmdet_l.json,,{variant}_seed{training_seed},,Optional D2 three-training-run robustness supplement,three independently trained models; six held-out-test metrics,Do not enqueue until every required D1 experiment and evaluation is complete.
D2.SOTA.cascade_rcnn_r50.existing,D2,Detector comparison,SOTA,cascade_rcnn_r50,evaluation,1,unknown/one,42,COMPLETED_POINT_ESTIMATE,P0,single_training_checkpoint,EXACT,experiments/configs/methods/cascade_rcnn_r50_legacy.py,experiments/configs/matrices/d2_cascade_history.yaml,,published table checkpoint; six test metrics,{},historical,work_dirs/baselines/cascade_rcnn_r50_24obj,,sota_d2_test,d2-test-cascade_rcnn-25e7f63f7418,tools/experiment_db/compatibility_reports/d2_sota_cascade_rcnn.json,,,,Original-split D2 benchmark point estimate,must not be labeled three-training-seed,Recorded test result on the publisher-provided original D2 split.
